,기준년월(STD_YM),성별코드(SEX_CD),연령대코드(AGE_CD),시간대코드(TIME_CD),구매_고객수(ACC_CNT),구매건수(PURH_CNT),구매금액(PURH_AMT),구매지역(PURH_AREA),구매_시도명(P_SIDO_NM),구매_시군구명(P_SIGNGU_NM),구매_읍면동명(P_EMD_NM),세부분류코드(DETAL_CLASS_CD),세부분류명(DETAL_CLASS_NM),통계청분류코드(STAT_CLASS_CD),통계청분류명(STAT_CLASS_NM)
129,201908,1,4,6,2,1,4000,11350621,서울특별시,노원구,중계1동,1060103,호상발효유,A,식료품 및 비주류음료
130,201902,2,6,5,1,1,2000,11545610,서울특별시,금천구,독산제1동,1070399,기타수산물,A,식료품 및 비주류음료
131,201811,2,4,5,1,1,8000,11710580,서울특별시,송파구,송파1동,1020602,감자스낵,A,식료품 및 비주류음료
132,201808,2,6,3,1,3,1000,11500620,서울특별시,강서구,공항동,1010904,편이간편식류,A,식료품 및 비주류음료
133,201807,1,3,4,1,1,3000,11380625,서울특별시,은평구,역촌동,1080101,맥주,B,주류 및 담배
134,201904,2,7,4,1,1,2000,11710710,서울특별시,송파구,잠실6동,1070203,새알기타류,A,식료품 및 비주류음료
135,201806,1,6,6,1,1,5000,11410660,서울특별시,서대문구,홍은제1동,1058899,음료기획세트,A,식료품 및 비주류음료
136,201910,2,6,6,1,1,2000,11230560,서울특별시,동대문구,전농제1동,1070304,미가공해조류,A,식료품 및 비주류음료
137,201904,2,4,2,1,2,1000,11710642,서울특별시,송파구,문정2동,1010904,편이간편식류,A,식료품 및 비주류음료
138,201904,2,3,3,1,3,5000,11290555,서울특별시,성북구,삼선동,1050801,생수,A,식료품 및 비주류음료
139,201909,2,6,6,1,2,4000,11200570,서울특별시,성동구,행당제2동,1020602,감자스낵,A,식료품 및 비주류음료
140,201803,2,5,5,1,2,2000,11350612,서울특별시,노원구,하계2동,1011101,만두류,A,식료품 및 비주류음료
141,201809,2,4,6,1,1,13000,11215870,서울특별시,광진구,구의제3동,1011199,기타냉동식품,A,식료품 및 비주류음료
142,201812,1,4,5,1,1,8000,11320690,서울특별시,도봉구,방학제1동,1011107,축산소재류(냉장/냉동),A,식료품 및 비주류음료
143,201904,2,6,5,1,2,11000,11320690,서울특별시,도봉구,방학제1동,5010704,일회용위생장갑,E,가정용품 및 가사 서비스
144,201811,2,6,4,1,1,4000,11710620,서울특별시,송파구,가락본동,5010402,씽크대소품,E,가정용품 및 가사 서비스
145,201905,2,2,5,1,1,1000,41463,경기도,용인시 기흥구,,1020603,소맥스낵,A,식료품 및 비주류음료
146,201910,2,3,5,1,1,8000,11710710,서울특별시,송파구,잠실6동,1069902,치즈,A,식료품 및 비주류음료
147,201903,2,3,4,1,1,15000,11290780,서울특별시,성북구,장위제3동,1110104,일식,A,식료품 및 비주류음료
148,201912,2,6,5,1,1,1000,11170560,서울특별시,용산구,원효로제1동,5010304,유아캐릭터식기,E,가정용품 및 가사 서비스
149,201805,2,4,6,1,1,6000,11380530,서울특별시,은평구,불광제2동,3010799,기타유아동스킨케어,L,기타 상품 및 서비스
